2025-05-25 14:59:00 | ERROR | getMigratedLaborAndNonMigratedLaborCounts error:
2025-05-25 16:18:35 | ERROR | getMigratedLaborAndNonMigratedLaborCounts error:
2025-05-25 16:18:35 | ERROR | getHealthDetailsCountAnalytics error:
2025-05-25 16:20:27 | ERROR | getMigratedLaborAndNonMigratedLaborCounts error:
2025-05-25 16:20:27 | ERROR | getHealthDetailsCountAnalytics error:
2025-05-25 16:21:07 | ERROR | getHealthDetailsCountAnalytics error:
2025-05-25 16:21:07 | ERROR | getMigratedLaborAndNonMigratedLaborCounts error:
2025-05-25 16:25:11 | ERROR | getHealthDetailsCountAnalytics error:
2025-05-25 16:26:39 | ERROR | getHealthDetailsCountAnalytics error:
2025-05-25 16:27:03 | ERROR | getHealthDetailsCountAnalytics error:
2025-05-25 16:30:32 | ERROR | getHealthDetailsCountAnalytics error:
2025-05-25 16:34:35 | ERROR | getHealthDetailsCountAnalytics error:
2025-05-25 16:34:50 | ERROR | getHealthDetailsCountAnalytics error:
2025-05-25 16:35:47 | ERROR | getHealthDetailsCountAnalytics error:
